trade_date,calendar_date,dte_remaining,spot,put_mid,call_mid,pnl_usd
2025-05-02,2025-05-02,42,5686.67,44.55,25.8,0.0
2025-05-02,2025-05-05,39,5650.38,49.45,17.95,295.0
2025-05-02,2025-05-06,38,5606.91,57.3,14.4,-135.0
2025-05-02,2025-05-07,37,5631.28,48.0,13.7,865.0
2025-05-02,2025-05-08,36,5663.94,37.55,16.4,1640.0
2025-05-02,2025-05-09,35,5659.91,35.5,13.9,2095.0
2025-05-02,2025-05-12,32,5844.19,11.55,39.85,1895.0
2025-05-02,2025-05-13,31,5886.55,10.45,50.95,895.0
2025-05-02,2025-05-16,28,5958.38,7.15,74.35,-1115.0
2025-05-02,2025-05-19,25,5963.6,5.55,75.5,-1070.0
2025-05-02,2025-05-20,24,5940.46,5.3,62.2,285.0
2025-05-02,2025-05-21,23,5844.61,11.25,33.4,2570.0
2025-05-02,2025-05-22,22,5842.01,9.3,30.85,3020.0
2025-05-02,2025-05-23,21,5802.82,14.25,21.3,3480.0
2025-05-02,2025-05-27,17,5921.54,3.4,41.7,2525.0
2025-05-02,2025-05-28,16,5888.55,3.075,31.0,3627.5
2025-05-02,2025-05-29,15,5912.17,2.45,33.75,3415.0
2025-05-02,2025-05-30,14,5911.69,1.725,25.75,4287.5
2025-05-02,2025-06-02,11,5935.94,0.975,34.5,3487.5
2025-05-02,2025-06-03,10,5970.37,0.675,40.8,2887.5
2025-05-02,2025-06-04,9,5970.81,0.325,39.6,3042.5
2025-05-02,2025-06-05,8,5939.3,0.625,27.05,4267.5
2025-05-02,2025-06-06,7,6000.36,0.15,39.8,3040.0
2025-05-02,2025-06-09,4,6005.88,0.1,36.35,3390.0
2025-05-02,2025-06-13,0,5976.97,0.0,0.0,7035.0
2025-06-06,2025-06-06,42,6000.36,34.95,20.35,-0.0
2025-06-06,2025-06-09,39,6005.88,32.05,18.9,435.0
2025-06-06,2025-06-10,38,6038.81,27.5,23.05,475.0
2025-06-06,2025-06-11,37,6022.24,29.55,19.15,660.0
2025-06-06,2025-06-12,36,6045.26,28.65,22.9,375.0
2025-06-06,2025-06-13,35,5976.97,43.25,14.75,-270.0
2025-06-06,2025-06-16,32,6033.11,27.25,18.15,990.0
2025-06-06,2025-06-17,31,5982.72,39.45,13.35,250.0
2025-06-06,2025-06-18,30,5980.87,33.8,9.75,1175.0
2025-06-06,2025-06-20,28,5967.84,33.55,7.65,1410.0
2025-06-06,2025-06-23,25,6025.17,23.4,9.4,2250.0
2025-06-06,2025-06-24,24,6092.18,12.7,16.65,2595.0
2025-06-06,2025-06-25,23,6092.16,9.9,15.1,3030.0
2025-06-06,2025-06-26,22,6141.02,7.05,23.7,2455.0
2025-06-06,2025-06-27,21,6173.07,5.25,28.95,2110.0
2025-06-06,2025-06-30,18,6204.95,3.6,35.55,1615.0
2025-06-06,2025-07-01,17,6198.01,3.3,32.0,2000.0
2025-06-06,2025-07-02,16,6227.42,2.525,39.4,1337.5
2025-06-06,2025-07-03,15,6279.35,2.15,60.75,-760.0
2025-06-06,2025-07-07,11,6229.98,1.625,31.75,2192.5
2025-06-06,2025-07-08,10,6225.52,1.0,25.05,2925.0
2025-06-06,2025-07-09,9,6263.26,0.5,33.0,2180.0
2025-06-06,2025-07-10,8,6280.46,0.4,37.15,1775.0
2025-06-06,2025-07-11,7,6259.75,0.4,23.8,3110.0
2025-06-06,2025-07-14,4,6268.56,0.175,23.4,3172.5
2025-06-06,2025-07-15,3,6243.76,0.1,8.5,4670.0
2025-06-06,2025-07-16,2,6263.7,0.075,6.65,4857.5
2025-06-06,2025-07-17,1,6297.36,0.1,25.05,3015.0
2025-06-06,2025-07-18,0,6296.79,0.0,16.79,3851.0
2025-07-03,2025-07-03,43,6279.35,35.35,20.4,0.0
2025-07-03,2025-07-07,39,6229.98,42.45,12.85,45.0
2025-07-03,2025-07-08,38,6225.52,36.95,10.6,820.0
2025-07-03,2025-07-09,37,6263.26,28.15,12.7,1490.0
2025-07-03,2025-07-10,36,6280.46,25.0,13.5,1725.0
2025-07-03,2025-07-11,35,6259.75,28.35,10.35,1705.0
2025-07-03,2025-07-14,32,6268.56,27.55,10.95,1725.0
2025-07-03,2025-07-15,31,6243.76,30.15,7.95,1765.0
2025-07-03,2025-07-16,30,6263.7,25.9,8.6,2125.0
2025-07-03,2025-07-17,29,6297.36,19.8,10.55,2540.0
2025-07-03,2025-07-18,28,6296.79,18.5,8.9,2835.0
2025-07-03,2025-07-21,25,6305.6,15.4,8.45,3190.0
2025-07-03,2025-07-22,24,6309.62,14.1,6.75,3490.0
2025-07-03,2025-07-23,23,6358.91,8.6,9.85,3730.0
2025-07-03,2025-07-24,22,6363.35,8.35,9.55,3785.0
2025-07-03,2025-07-25,21,6388.64,6.25,10.05,3945.0
2025-07-03,2025-07-28,18,6389.77,4.85,7.7,4320.0
2025-07-03,2025-07-29,17,6370.86,6.65,4.85,4425.0
2025-07-03,2025-07-30,16,6362.9,5.3,5.125,4532.5
2025-07-03,2025-07-31,15,6339.39,6.85,2.25,4665.0
2025-07-03,2025-08-01,14,6238.01,17.2,0.625,3792.5
2025-07-03,2025-08-04,11,6329.94,5.5,0.9,4935.0
2025-07-03,2025-08-05,10,6299.19,5.05,0.525,5017.5
2025-07-03,2025-08-06,9,6345.06,2.825,0.7,5222.5
2025-07-03,2025-08-07,8,6340.0,2.025,0.575,5315.0
2025-07-03,2025-08-08,7,6389.45,0.75,0.475,5452.5
2025-07-03,2025-08-11,4,6373.45,0.825,0.15,5477.5
2025-07-03,2025-08-12,3,6445.76,0.275,0.1,5537.5
2025-07-03,2025-08-13,2,6466.58,0.1,0.1,5555.0
2025-07-03,2025-08-14,1,6468.54,0.175,0.15,5542.5
2025-07-03,2025-08-15,0,6449.8,0.0,0.0,5575.0
2025-08-01,2025-08-01,42,6238.01,42.05,21.1,0.0
2025-08-01,2025-08-04,39,6329.94,23.55,32.45,715.0
2025-08-01,2025-08-05,38,6299.19,25.45,26.0,1170.0
2025-08-01,2025-08-06,37,6345.06,18.85,32.4,1190.0
2025-08-01,2025-08-07,36,6340.0,17.7,31.45,1400.0
2025-08-01,2025-08-08,35,6389.45,12.0,40.4,1075.0
2025-08-01,2025-08-11,32,6373.45,12.2,33.65,1730.0
2025-08-01,2025-08-12,31,6445.76,7.75,51.5,390.0
2025-08-01,2025-08-13,30,6466.58,6.6,58.75,-220.0
2025-08-01,2025-08-14,29,6468.54,7.0,55.25,90.0
2025-08-01,2025-08-15,28,6449.8,7.05,44.65,1145.0
2025-08-01,2025-08-18,25,6449.15,5.5,41.15,1650.0
2025-08-01,2025-08-19,24,6411.37,6.15,28.35,2865.0
2025-08-01,2025-08-20,23,6395.78,6.4,22.9,3385.0
2025-08-01,2025-08-21,22,6370.17,7.25,18.65,3725.0
2025-08-01,2025-08-22,21,6466.91,3.5,37.15,2250.0
2025-08-01,2025-08-25,18,6439.32,3.1,25.45,3460.0
2025-08-01,2025-08-26,17,6465.94,3.025,31.95,2817.5
2025-08-01,2025-08-27,16,6481.4,2.675,35.95,2452.5
2025-08-01,2025-08-28,15,6501.86,1.925,40.2,2102.5
2025-08-01,2025-08-29,14,6460.26,1.95,23.4,3780.0
2025-08-01,2025-09-02,10,6415.54,2.125,10.4,5062.5
2025-08-01,2025-09-03,9,6448.26,0.975,12.95,4922.5
2025-08-01,2025-09-04,8,6502.08,0.575,26.35,3622.5
2025-08-01,2025-09-05,7,6481.5,0.45,12.2,5050.0
2025-08-01,2025-09-08,4,6495.15,0.175,12.9,5007.5
2025-08-01,2025-09-09,3,6512.61,0.175,13.6,4937.5
2025-08-01,2025-09-10,2,6532.04,0.15,20.5,4250.0
2025-08-01,2025-09-12,0,6584.29,0.0,54.29,886.0
2025-09-05,2025-09-05,42,6481.5,33.95,18.45,-0.0
2025-09-05,2025-09-08,39,6495.15,29.3,19.3,380.0
2025-09-05,2025-09-09,38,6512.61,27.7,20.55,415.0
2025-09-05,2025-09-10,37,6532.04,25.35,25.4,165.0
2025-09-05,2025-09-11,36,6587.47,19.0,39.9,-650.0
2025-09-05,2025-09-12,35,6584.29,18.55,37.25,-340.0
2025-09-05,2025-09-15,32,6615.28,16.9,48.95,-1345.0
2025-09-05,2025-09-16,31,6606.76,18.0,48.95,-1455.0
